,,,Summer 2009,Fall 2009,Spring 2010,Summer 2010,Fall 2010,Spring 2011,Summer 2011,Fall 2011,Spring 2012,Summer 2012,Fall 2012,Spring 2013,Summer 2013,Fall 2013,Spring 2014,Summer 2014,Fall 2014,Spring 2015,Summer 2015,Fall 2015,Spring 2016,Summer 2016,Fall 2016,Winter 2017,Spring 2017,Summer 2017,Fall 2017,Winter 2018,Spring 2018,Summer 2018,Fall 2018,Spring 2019,Summer 2019,Fall 2019,Winter 2020,Spring 2020,Summer 2020,Fall 2020,Winter 2021,Spring 2021,Summer 2021,Fall 2021,Winter 2022,Spring 2022,Summer 2022,Fall 2022,Winter 2023,Spring 2023,Summer 2023,Fall 2023
CMSC,493,Games Group Project,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,,1,,,,1,,,,1,,
CMSC,495,Honors Thesis,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,498,Indep Study:Intern/Coop,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,,1,,1,,1,,1,1,,1,,1,,1,,,,1,,1,,1,,1,,1
CMSC,499,Indep Study Computer Sci,,1,3,,3,1,,2,1,,1,2,,1,2,,1,4,,3,2,,1,,5,,4,,8,,4,5,,4,1,4,1,5,,3,1,3,,3,1,6,,8,1,3
CMSC,601,Research Skills For Cs,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,608,Graduate Seminar,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,611,Adv Computer Architectre,,1,,,1,,,1,,,2,2,,,1,,2,,,2,2,,,,2,,2,,1,,2,2,,2,,1,,2,,2,,1,,1,,1,,1,,1
CMSC,621,Adv Operating Systems,,1,,,1,,,1,,,2,,,2,2,,,2,,2,,,2,,2,,2,,1,,1,2,,1,,1,,1,,1,,1,,1,,1,,1,,1
CMSC,626,Princ Computer Security,,1,,,1,,,,2,,,,,1,,,2,2,,4,,,2,,,,1,,,,,2,,2,,,1,1,,1,,2,,1,,1,,2,,1
CMSC,627,Wearable Computing,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,628,Intro Mobile Comput,,,,,,,,,,,,2,,,1,,,2,,,2,,,,2,,,,2,,,1,,,,,,,,1,,,,1,,,,1,,
CMSC,634,Computer Graphics,,1,,,1,,,1,1,,1,,,2,2,,1,1,,2,1,,1,,1,,1,,,,1,1,,1,,1,,1,,1,,1,,1,,1,,1,,1
CMSC,635,Adv Comp Graphics,,,1,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,636,Data Visualization,,,,,,,,1,,,,,,2,,,,,,,,,1,,,,1,,,,,,,1,,,,1,,,,1,,,,2,,1,,1
CMSC,641,Design & Analy Algorthms,,,1,,,1,,,1,,,2,,2,,,2,2,,,1,,2,,,,2,,2,,2,1,,2,,1,,1,,1,,3,,2,,2,,2,,2
CMSC,643,Quantum Computation,,,,,1,,,,,,,,,,2,,,2,,,1,,,,2,,,,1,,,1,,,,,,1,,,,1,,,,1,,,,1
CMSC,644,Information Assurance,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,645,Adv Software Engineering,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,651,Automata Thry/Forml Lang,,1,,,1,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,652,Cryptography & Data Sec,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,2,,,,1,,,,,,,,,,,,,,
CMSC,653,Coding Thry/Applications,,,1,,,,,1,,,,,,,,,2,,,1,,,2,,,,2,,,,2,,,,,,,,,1,,,,1,,,,2,,
CMSC,655,Numerical Computations,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,1,,,,1,,,,1,,,,1
CMSC,656,Symbolic/Algebraic Proc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
CMSC,661,Prin Of Database Sys,,,1,,,1,,,1,,,2,,,2,,,,,2,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,
CMSC,668,Service Oriented Computing,,,,,,1,,,,,1,,,2,,,,,,1,,,2,,,,2,,,,2,,,2,,,,1,,,,1,,,,1,,,,1
CMSC,671,Prin Artificial Intell,,1,,,2,,,1,,,2,,,2,,,2,,,2,,,2,,,,2,,,,2,,,1,,,,1,,,,1,,,,1,,,,1
CMSC,673,Intro Nat Lang Process,,,,,1,,,,,,2,,,2,,,,,,,,,,,2,,1,,,,1,,,1,,,,1,,,,1,,,,1,,,,1
CMSC,675,Neural Networks,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,676,Information Retrieval,,,,,1,,,,,,,,,,2,,,2,,,,,,,,,,,1,,,1,,,,2,,,,1,,,,1,,,,1,,
CMSC,677,Agent Arch/Multi-Agt Sys,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMSC,678,Intro Machine Learning,,,,,,1,,1,,,,2,,,2,,2,3,,1,,,2,,2,,2,,2,,2,2,,1,,2,,1,,1,,1,,1,,2,,1,,2
CMSC,679,Intro To Robotics,,,1,,,,,,2,,,,,,,,,,,2,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,
CMSC,681,Advanced Comp Networks,,,,,1,,,2,,,1,,,1,,,1,,,2,,,,,,,1,,,,1,,,1,,,,1,,,,1,,,,1,,,,
CMSC,682,Networking Technol,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,1,,,2,,,,1,,,,1,,,,1,,,,1,,
CMSC,684,Wireless Sensor Networks,,,,,,,,,2,,,,,2,,,,2,,,,,1,,,,,,,,1,,,,,1,,,,2,,,,,,1,,,,
CMSC,687,Intro Network Security,,,1,,,1,,,,,,,,2,,,2,,,1,,,1,,1,,,,1,,,1,,,,2,,,,1,,,,1,,1,,1,,1
CMSC,688,Software Reverse Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
CMSC,691,Spec Topics In Comp Sci,,3,4,,5,1,,,6,,2,6,,2,10,,7,6,,5,13,,3,,9,,5,,6,,7,4,,7,,7,,5,,6,,8,,8,,8,,6,,5
CMSC,696,Internship And Coop,1,1,,1,1,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1
CMSC,698,Proj In Computer Science,,1,4,,3,1,2,3,5,1,3,5,,2,6,1,5,5,2,2,5,1,4,,7,1,4,1,5,1,3,7,1,7,,10,,4,,6,,1,,3,,1,,8,,
CMSC,699,Ind Study In Comp Sci,1,1,9,2,6,13,1,10,13,1,10,14,3,9,10,4,7,13,5,13,10,3,7,1,11,1,8,2,13,3,11,11,,6,,13,3,13,,12,2,6,,16,3,16,,19,1,5
CMSC,7700,Master's Special Study,,1,,,,2,,2,,,,1,,,,,2,,,1,,,1,,1,,2,,2,,,1,,1,,2,,1,,1,,1,,1,,1,,,,
CMSC,791,Adv Graduate Seminar,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,
CMSC,799,Master's Thesis Research,1,1,13,2,15,18,3,16,13,4,15,13,1,15,11,3,12,11,2,11,12,2,12,,14,3,15,,16,,11,15,,13,,13,1,14,,12,1,9,,10,1,9,,10,,1
CMSC,871,Adv Top Artifcial Intell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,
CMSC,8800,Doctoral Special Study,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,
CMSC,898,Pre Doc Candidacy Rsch,1,1,9,2,8,12,1,14,14,1,14,10,2,12,13,,14,11,1,11,10,1,12,,15,1,14,,12,,14,15,1,17,,16,,16,,18,,18,,14,,10,,10,1,2
CMSC,899,Doctoral Diss Research,,1,18,2,13,12,1,13,14,2,14,16,1,13,12,3,8,9,2,13,14,2,13,,14,2,10,,14,1,13,11,3,11,,9,1,12,,14,2,16,,14,4,14,,15,,3
COMP,101,Comput Thinking & Design,,,,,,,,,,,,,,,,,,,,6,,,6,,,,6,,,,,,,,,,,,,,,,,1,,6,,2,,1
COMP,101Y,Comput Thinking & Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,8,,,,12,,2,,10,,2,,12,,3,,
CYBR,620,Introduction to Cybersecurity,,,,,,2,1,2,4,1,3,2,1,3,3,1,3,3,,3,3,,3,,3,,3,,2,,3,3,1,3,,3,1,2,,2,1,3,,3,,4,,3,,4
CYBR,621,Cyber Warfare,,,,,,,1,1,,,3,2,1,1,1,,3,2,,1,2,,1,,1,,1,,1,,1,1,,2,,1,,1,,1,,1,,1,1,1,,1,1,1
CYBR,622,Global Cyber Trends,,,,,,1,,1,1,,1,2,,2,2,,1,3,,2,1,1,2,,1,2,1,,2,,,2,,1,,1,1,1,,1,,1,,1,,1,,1,,1
CYBR,623,Cyber Law and Policy,,,,,,,,2,2,1,1,2,,3,2,,2,2,1,2,2,1,3,,2,1,2,,2,1,2,2,,2,,2,,2,,2,1,1,,2,,2,,2,1,2
CYBR,624,Cybersecurity Project,,,,,,,,,,1,1,1,1,1,1,,1,2,,2,2,,2,,2,,2,,2,,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2
CYBR,631,Applied Computer Forensics,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBR,641,Cybercrime Investigations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,,1,,1,,2,,1,,1,1,1
CYBR,642,Intro. to Digital Forensics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,1,,1,,1,1,1,,1,,1,,1,1,1
CYBR,643,Advanced Digital Forensics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,1,,1,,,,1,,
CYBR,644,Practitioner Development Lab,,,,,,,,,,,,,,,,,,4,,2,,,1,,1,,1,,1,,1,1,,1,,1,1,1,,1,1,,,,1,1,,2,1,1
CYBR,650,Cyber Operations Mgmt.,,,,,,,,,,,1,2,,2,3,,2,2,,2,2,1,2,,2,,2,,2,,2,2,2,2,,2,1,1,,2,1,2,,2,,2,,3,,3
CYBR,652,Enterprise Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,2,,2,,2,1,2,,1,1,2,,2,1,2,,3,,2
CYBR,658,Risk Analysis & Compliance,,,,,,,,,,,,,,,,,,,,2,3,,2,,1,,2,,2,,2,2,1,2,,2,2,1,,2,1,1,,2,,2,,2,1,2
CYBR,688,Software Reverse Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1
CYBR,691,Spec. Topics in Cybersecurity,,,,,,,,,,,1,2,1,1,,3,3,3,2,4,4,3,4,,5,2,4,,4,4,4,1,2,1,,4,,3,,3,1,2,,3,1,1,,2,1,2
CYBR,696,Internship and Coop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
CYBR,699,Ind Study in Cybersecurity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
DATA,601,Introduction to Data Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,3,,3,,4,,3,,7,,7,,6,,12,,7,,7
DATA,601,Introduction to Data Science,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
DATA,602,Intro to Data Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,3,,3,,3,1,3,,2,,5,,6,2,6,,10,1,6
DATA,603,Big Data Processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,1,,3,1,3,,2,1,3,,5,2,6,,9,1,8
DATA,604,Data Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,3,,2,1,2,,3,,5,,5,1,11,,9,,8
DATA,605,Ethical Issues in Data Sci.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,2,1,2,,2,1,5,,5,1,11,,7,1,6
DATA,606,Capstone in Data Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,2,1,1,,2,1,2,,3,2,3,,6,1,5
DATA,690,Special Topics in Data Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,1,4,,5,,8,,6,,10,,10,3,9
DATA,696,Internship and Coop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,
DATA,699,Independent Study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,
ENEE,302,Prin Electrical Engn,,4,3,,5,3,,5,3,,5,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENEE,601,Linear Sys Thy,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,
ENEE,605,Applied Linear Algebra,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,1,,,,1,,,,1,,,,1,,,,
ENEE,608,Graduate Seminar,,1,1,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENEE,610,Digital Sig Proc,,1,,,1,,,1,,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,,1,,,,1,,,,1,,
ENEE,612,Digital Image Processing,,1,,,,,,1,,,1,,,1,,,1,,,1,,,,,,,1,,,,1,,,,,,,1,,,,1,,,,1,,,,
ENEE,620,Prob Random Proc,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,,1,,,,1,,,,1
ENEE,621,Det Est Theory I,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,,1,,,,1,,,,1,,
ENEE,622,Inform Theory,,,1,,,1,,,1,,,1,,,,,,1,,,1,,,,,,,,1,,,,,,,1,,,,1,,,,,,,,,,
ENEE,623,Commun Theory I,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
ENEE,624,Error Corr Codes,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,
ENEE,630,Solid State Electronics,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,1,,,,,,,1,,,,,,,,1,,,,1
ENEE,631,Semicond Devices,,,1,,,1,,,1,,,1,,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,1,,
ENEE,639,Neural Engn. and Instrumental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,1,,
ENEE,660,Systems Eng Principles,,1,,,1,,,1,,,2,,,2,,,2,,,1,1,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
ENEE,661,System Archit And Design,,,1,,,1,,,1,,,1,,,1,,,2,,,2,,,,2,,,,1,,,1,,,,,,,,,,,,,,,,,,
ENEE,662,"Modeling, Sim And Analy",,1,,,1,,,1,,,1,,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,
ENEE,663,System Implem Integratio,,,1,,,1,,,1,,,1,,1,,,1,,,1,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
ENEE,664,Advanced Systems Architecture,,,,,,,,1,,,1,,,1,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
ENEE,666,Architecting Security,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENEE,667,Advanced Sys. ENGR. Processes,,,,,,,,,,,,,,,1,,,1,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
ENEE,669,Mathematics and MATLAB Fundame,,,,1,,,1,,,1,,,,1,,,1,,,1,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
ENEE,670,Syst Engr Proj,,,1,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,
ENEE,672,Decision and Risk Analysis,,,1,,,,,,1,,,,,1,,,,,,1,,,1,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,
ENEE,680,Electromag Theory I,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,,1,,,,1,,,,1
ENEE,683,Lasers,,,1,,,1,,,1,,,1,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,
ENEE,684,Intro Photonics,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
ENEE,685,Intro Comm Network,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENEE,691,Special Topics Elec Engr,,1,1,,1,1,,1,,,,1,,1,1,,,1,,,1,,1,,2,,1,,2,,1,3,,1,,3,,,,,,,,2,,,,2,,2
ENEE,698,Project In EE,,1,,,3,,,1,1,1,3,2,,,3,1,2,3,,5,2,,3,,2,,3,,3,,3,4,,2,,2,,4,,6,,6,,2,,1,,2,,1
ENEE,699,Independent Study,1,1,4,2,4,5,3,5,8,2,6,5,1,5,4,,3,8,1,3,2,,3,,8,,6,,4,1,6,5,,4,,6,,7,,3,1,4,,3,,1,,1,1,
ENEE,712,Pattern Regogn,,,,,,,,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,
ENEE,718,Topics In Sig Processing,,1,,,,1,,,,,,,,,,,,1,,,1,,,,,,,,1,,1,1,,,,,,,,1,,,,,,,,1,,
ENEE,728,Topics In Communications,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENEE,7700,Master's Special Study,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENEE,788,Top Electrophys & Photon,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
ENEE,799,Master's Thesis Research,,,2,1,1,1,,1,1,,2,2,,1,2,2,3,2,,3,2,1,1,,2,1,3,,2,,3,1,,1,,2,,1,,1,,2,,1,,,,,,
ENEE,800,Graduate Research,1,1,2,,2,,,,1,,1,,,2,,,3,,,1,,,1,,,,,,,,1,,,,,,1,,,,,,,2,,,,,,
ENEE,898,Pre Candidacy Doc Rsch,1,1,5,,5,6,1,5,7,2,8,9,2,8,8,2,6,6,1,6,8,,7,,9,,12,,11,,13,12,,11,,11,,12,,12,2,11,,9,1,9,,9,2,1
ENEE,899,Doctorial Diss. Research,,1,8,,6,5,,6,4,,4,4,,6,6,,7,6,1,8,6,2,6,,5,1,6,,7,,6,5,2,7,,7,2,5,,8,1,9,,10,1,9,,9,,
